"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"720",5.03440590797859e-52,0.248564857058045,0.422,0.319,1.22804263313322e-47,"4","GDAP1L1"
"721",2.09737440661711e-49,0.248404564994066,0.353,0.259,5.11612539006113e-45,"4","MINDY2"
"722",5.74284944986194e-46,0.248150362795827,0.475,0.391,1.40085326630482e-41,"4","ORC4"
"723",2.58613180061609e-54,0.247876205216916,0.59,0.493,6.30835130124283e-50,"4","ZFHX3"
"724",4.69245559985767e-36,0.246972561384708,0.63,0.619,1.14463069447328e-31,"4","DDX18"
"725",2.39216143314794e-73,0.246548452757261,0.241,0.137,5.83519938387777e-69,"4","TSPYL2"
"726",1.90771654052123e-40,0.245706377963216,0.432,0.351,4.65349295729343e-36,"4","ZC3H6"
"727",2.33896239513819e-48,0.24445963457598,0.639,0.566,5.70543097046058e-44,"4","PKIA"
"728",2.61940246596815e-45,0.244453827567049,0.666,0.643,6.38950843523612e-41,"4","CHD9"
"729",5.04017901250478e-65,0.243872441621537,0.311,0.203,1.22945086652029e-60,"4","YEATS2"
"730",8.16311253135448e-34,0.243734484208936,0.509,0.452,1.9912280397733e-29,"4","AL078639.1"
"731",1.5500078474992e-15,0.243257304278984,0.569,0.598,3.78093414240479e-11,"4","NARS"
"732",1.6990473703349e-32,0.241851746534927,0.491,0.439,4.14448625045791e-28,"4","PHF3"
"733",6.42646115666922e-40,0.238473745969886,0.513,0.442,1.56760666994632e-35,"4","MAN1A2"
"734",1.68554843757642e-37,0.238093430019232,0.512,0.446,4.11155830378016e-33,"4","ZNF91"
"735",8.7642553456215e-40,0.237955974416321,0.524,0.454,2.13786480645745e-35,"4","TNRC6C"
"736",9.30131550147275e-39,0.237224574429404,0.614,0.585,2.26886989027425e-34,"4","EIF4B"
"737",9.28748999565142e-144,0.236807988610703,0.215,0.086,2.26549743463925e-139,"4","AC097534.2"
"738",3.65392662532564e-46,0.236777365051537,0.429,0.338,8.91302321715684e-42,"4","KPNA5"
"739",1.18126910885304e-68,0.23539827587203,0.302,0.191,2.88146973722523e-64,"4","GOLGA8B"
"740",1.46773383877327e-35,0.235005010181057,0.697,0.706,3.58024315291963e-31,"4","SRSF11"
"741",4.03941423019886e-45,0.231501745313237,0.401,0.31,9.85334313172408e-41,"4","AGTPBP1"
"742",2.79589654501725e-35,0.230620043820989,0.456,0.388,6.82003044226057e-31,"4","CEP57"
"743",3.84068097763293e-45,0.228528719191477,0.263,0.177,9.36857310874001e-41,"4","XBP1"
"744",9.36044531727489e-27,0.223425401044803,0.611,0.609,2.28329342624286e-22,"4","SARS"
"745",4.6212856298169e-71,0.223351160563712,0.988,0.806,1.12727020368124e-66,"4","STMN2"
"746",2.75312099594827e-25,0.223148960024699,0.519,0.479,6.71568804541662e-21,"4","IDI1"
"747",6.83221445241571e-110,0.222368373083931,0.242,0.115,1.66658207137776e-105,"4","SLC16A3"
"748",2.74180617167369e-29,0.220705257740611,0.527,0.448,6.68808779456362e-25,"4","KCNQ1OT1"
"749",7.57623496061809e-31,0.219282914228911,0.574,0.542,1.84807099394357e-26,"4","TUT4"
"750",2.93820243218328e-55,0.217665524750082,0.876,0.817,7.16715719282467e-51,"4","CCDC88A"
"751",0,4.68790927588825,0.952,0.041,0,"5","COL3A1"
"752",0,4.13706239509976,0.802,0.018,0,"5","MGP"
"753",0,4.04302336345679,0.981,0.03,0,"5","COL1A1"
"754",0,3.58481147896491,0.975,0.085,0,"5","LGALS1"
"755",0,3.51148280571643,0.994,0.1,0,"5","COL1A2"
"756",0,3.18029122380272,0.89,0.016,0,"5","LUM"
"757",0,2.85541126844294,0.929,0.013,0,"5","COL6A3"
"758",0,2.80725033526071,0.948,0.201,0,"5","COL6A1"
"759",0,2.72165378922988,0.882,0.023,0,"5","DCN"
"760",0,2.58294797064161,0.907,0.031,0,"5","COL6A2"
